No,Titulo,Autor
1,Poema del Cid,Anónimo
2,Pedro Páramo.,"Rulfo, Juan"
3,Los idolatras,"Hegner, William E."
4,Queda la noche,"Puértolas, Soledad"
5,Un encuentro peligroso,"Jünger, Ernst"
6,El príncipe destronado,"Delibes, Miguel"
7,Drogas en el instituto,"Thomas, Jack W."
8,Una noche en el trópico,"Baum, Vicki"
9,El perro de los Baskerville,"Doyle, Arthur Conan "
10,Vuelva usted mañana y otros artículos,"Larra, Mariano José de"
11,Hospital General,"Pombo Angulo, Manuel"
12,El diablo cojuelo,"Vélez de Guevara, Luis"
13,El perque de tot plegat,"Monzo, Quim"
14,Boatpeople. Manuale di sopravvivenza ...,"Romeo, Carlo"
15,La comunicación de masas,"Burgelin, Olivier "
16,Shirley y el diamante,"Home-Gall, Edward "
17,Empieza el calor ; Corre hombre ; Tod...,"Himes, Chester"
18,Aprender a razonar,"Pizarro, Fina "
19,Nuevas amistades,"García Hortelano, J."
20,Arqueología de barcos,"Johnstone, Paul"
21,El lápiz del carpintero,"Rivas, Manuel"
22,Todos los fuegos el fuego,"Cortázar, Julio "
23,Don Camillo et Peppone,"Guareschi, Giovanni"
24,Helen Keller,"Soler Blanch, Carmen"
25,La Ley De Murphy,"Bloch, Arthur"
26,Gandhi,"Woodcock, George"
27,Teoría i pràctica al voltant de la li...,"García. Carles; Lluch, Gemma"
28,La Guerra Civil. La República partida...,Varios
29,50 cosas que los niños pueden hacer p...,Varios
30,Volevo i pantaloni,"Cardella, Lara "
31,L'Énéide,Virgile
32,The Canterville ghost / El fantasma d…,"Wilde, Oscar "
33,La Celestina,"Rojas, Fernando de"
34,Viento en los puentes,"Mataix, Lucila "
35,Los días de amor guerra y omnipotenci...,"Montero, Isaac "
36,"El Tiempo, el Espacio y el Tío Albert","Stannard, Russell "
37,Cartógrafos y aventureros: narradores...,Varios
38,à l'ouest d'octobre,"Bradbury, Ray"
39,Morny,"Rouart, Jean-Marie"
40,A sangre fría,"Capote, Truman "
41,Cuentos de la Alhambra,"Irving, Washington"
42,Le Sermon Sur la Chute de Rome,"Ferrari, Jerome"
43,Las georgicas,"Simon, Claude"
44,Los organillos,"Rey, Henri-François"
45,Journal intime,"Rheims, Nathalie"
46,Las mil noches de Hortensia Romero,"Quiñones, Fernando "
47,El aire de un crimen,"Benet, Juan "
48,"Les Miserables, Tome 1.","Hugo, Victor "
49,Clochemerle,"Chevallier, Gabriel "
50,No emprenyeu el comissari!,"Torrent, Ferran"
51,Un sexo llamado débil,"Martín Vigil, José Luis "
52,Le Jugement final,"Easterman, Daniel "
53,Le mystère de la chambre 51,"Grimes, Martha "
54,Negros son los dioses de mi África,"Yerby, Frank"
55,Der Gefangene des Himmels,"Ruiz Zafón, Carlos "
56,La Alternativa Del Diablo,"Forsyth, Frederick "
57,Aventuras de Robinson Crusoe,"Defoe, Daniel "
58,The Great Railway Bazaar,"Theroux, Paul "
59,The kite runner,"Hosseini, Khaled "
60,La Ciudad de la alegria,"Lapierre, Dominique"
61,La nueva organización del trabajo,"Mateu, Melchor "
62,Retrato de grupo con señora,"Böll, Heinrich "
63,El Juez y su verdugo,"Dürrenmatt, Friedrich "
64,Oficio de difuntos,"Uslar Pietri, Arturo "
65,El reino de este mundo,"Carpentier, Alejo "
66,Los 80 son nuestros,"Diosdado, Ana "
67,Sociología para educadores,"Romero Peñas, José Luis; González-Anleo, Juan "
68,"Tiranos, víctimas e indiferentes...","Roberts, Wess "
69,Dios ha nacido en el exilio,"Horia, Vintila "
70,Charlie,"King, Stephen "
71,El pasado quedó atrás,"Vries, Anke De "
72,Heath,"Roth, Andrew "
73,Dinero para Maria,"Rasputin, Valentin "
74,Robinson Crusoe,"Defoe, Daniel"
75,Leituras,Varios
76,Crónica sentimental en rojo,"González Ledesma, Francisco "
77,Only a Teardrop away from a Cry,"Dowling, Lynette "
78,Pedro Toledo,"Cacho, Jesús "
79,OEuvres complètes de Isidore Ducasse,"Ducasse, Isidore "
80,Las Voces del Desierto,"Morgan, Marlo "
81,84 Charing Cross Road,"Hanff, Helene "
82,Le neuvième cercle,"Bernadac, Christian "
83,Sexy-bar,"Benítez de Castro, Cecilio "
84,Las esferas del Mandala,"White, Patrick "
85,Año de lobos,"Fährmann, Willi"
86,Fue dicho: no desearás a la mujer de ...,"Hunter, Evan "
87,Résurrection,"Tolstoy, Lev Nikolaevič "
88,Feudalismo Tardio y Capital Mercantil,"Kriedte, Peter "
89,Marie Curie,"Reid, Robert "
90,Queridas cadenas,"Pérez Collado, Antonio "
91,Que el cielo la juzgue,"Williams, Ben Ames "
92,Postmortem,"Cornwell, Patricia "
93,Países y territorios del mundo,"López Davalillo, Julio"
94,Contact Your Guardian Angel,"Roland, Paul "
95,Spanish show,"Manegat, Julio "
96,Yo fui... una de ellas,"Calvany, Condesa "
97,Pasos sin huellas,"Bermúdez de Castro, F."
98,Tieta de Agreste,"Amado, Jorge "
99,La fondation ligue française des droi..,"Antoine, Suzanne ; Nouët, Jean-Claude"
100,El tigre de tasmania,"Muñoz Puelles, Vicente "
101,Tu No Eres Mi Amiga,"Tamayo Daimon, Manuel "
102,Jacinto Benavente,"Díaz-Plaja, Aurora "
103,Le guide des actions humanitaires,"Jost, Philippe "
104,Bajo el viento de la Camarga,"Cesco, Federico de "
105,Niños y hombres,"Roth, Philip "
106,Aux frontières du réel - 2 - Tornade,"Grant, Charles L. "
107,La pampa argentina,"Sefve, Ivar "
108,El guerrero del desierto,"Singh, Nalini "
109,El Mito masculino,"Pietropinto, Anthony; Simenauer, Jacqueline"
110,Hostal Lolita,"Nonell, Carmen"
111,Claudia. Los años dorados de Hollywood,"Loos, Mary"
112,El Kapo,"Gaussen, Dominique"
113,Remando al viento,"Suárez, Gonzalo"
114,Relatos,Varios
115,El arreglo,"Kazan, Elia "
116,Iglus en la noche,"Ruesch, Hans "
117,La Mujer Total,"Morgan, Marabel "
118,Tiempos de Claroscuro,"Raybourn, Deanna "
119,Rob Roy,"Scott, Walter "
120,Tempestad sobre el Vaticano,"Speratti, Alberto "
121,Círculo del Crimen (6 relatos),Varios
122,Luz (des)hilvanada,"Crespo Alcalá, Patricia "
123,El amor es más poderoso que la muerte,"Konsalik, Heinz G."
124,Proceso a la historia,"Barrios, Manuel "
125,La ciudad vagabunda,"Zilahy, Lajos"
126,¿Quiere usted saber frances en diez dias?,"Robertson, Métodos "
127,Doble imagen,"MacInnes, Helen "
128,Adios Janette,"Robbins, Harold "
129,Lawrence de Arabia,"Aldington, Richard "
130,la tarde,"Lacruz, Mario "
131,El rito,"García Blázquez, José Antonio"
132,Jaque a la dama,"Fernandez Santos, Jesus "
133,A ritmo de marcha fúnebre,"Barclay, Alexis "
134,El valle de las muñecas,"Susann, Jacqueline "
135,Los gozos y las sombras. III. La Pascua triste,"Torrente Ballester, Gonzalo "
136,¡Arriba Israel!,"Núñez Alonso, Alejandro"
137,Les chansons de Bilitis,"Louÿs, Pierre"
138,Grandes autores en libros pequeños,Varios
139,La nuit de l'apocalypse,"Easterman, Daniel "
140,Memoires mortes,"Cornwell, Patricia "
