No,Titulo,Autor,Editorial,Idioma,ISBN13
1,Poema del Cid,Anónimo,Castalia,es,9788470391125
2,Pedro Páramo.,"Rulfo, Juan",Fondo de Cultura Económica,es,9788437502267
3,Los idolatras,"Hegner, William E.",Plaza & Janés,es,9788421400982
4,Queda la noche,"Puértolas, Soledad",Planeta,es,9788432070105
5,Un encuentro peligroso,"Jünger, Ernst",Planeta,es,9788408462156
6,El príncipe destronado,"Delibes, Miguel",Destino,es,9788423308262
7,Drogas en el instituto,"Thomas, Jack W.",Círculo de Lectores,es,9788422610472
8,Una noche en el trópico,"Baum, Vicki",Planeta,es,
9,El perro de los Baskerville,"Doyle, Arthur Conan ",Espasa-Calpe,es,
10,Vuelva usted mañana y otros artículos,"Larra, Mariano José de",Salvat,es,
11,Hospital General,"Pombo Angulo, Manuel",Destino,es,
12,El diablo cojuelo,"Vélez de Guevara, Luis",Desconocida,es,
13,El perque de tot plegat,"Monzo, Quim",Quaderns Crema,ca,9788477271055
14,Boatpeople. Manuale di sopravvivenza ...,"Romeo, Carlo",Longanesi,it,9788830423893
15,La comunicación de masas,"Burgelin, Olivier ",A.T.E.,es,9788485047239
16,Shirley y el diamante,"Home-Gall, Edward ",Molino,es,
17,Empieza el calor ; Corre hombre ; Tod...,"Himes, Chester",Orbis,es,9788475306001 
18,Aprender a razonar,"Pizarro, Fina ","Alhambra Longman, S.A.",es,9788420512938
19,Nuevas amistades,"García Hortelano, J.",Círculo de Lectores,es,
20,Arqueología de barcos,"Johnstone, Paul",Adara,es,9788438500088
21,El lápiz del carpintero,"Rivas, Manuel",Alfaguara,es,
22,Todos los fuegos el fuego,"Cortázar, Julio ",Alfaguara,es,
23,Don Camillo et Peppone,"Guareschi, Giovanni",Éditions du Seuil,fr,
24,Helen Keller,"Soler Blanch, Carmen","Auriga, ediciones",,9788472810907
25,La Ley De Murphy,"Bloch, Arthur","Temas de Hoy, ediciones",es,9788484604235
26,Gandhi,"Woodcock, George",Planeta-Agostini,es,9788439538141
27,Teoría i pràctica al voltant de la li...,"García. Carles; Lluch, Gemma","Consellería de Cultura, Educació i Ciéncia",ca,9788478902255
28,La Guerra Civil. La República partida...,Varios,Grupo 16,es,9788485229963
29,50 cosas que los niños pueden hacer p...,Varios,Emece,es,9788478880713
30,Volevo i pantaloni,"Cardella, Lara ",Arnoldo Mondadori,it,9788804325062
31,L'Énéide,Virgile,Hatier,fr,
32,The Canterville ghost / El fantasma d…,"Wilde, Oscar ",Paul Venables,"en,es",9788467431322
33,La Celestina,"Rojas, Fernando de",Diario El Pais,es,9788496390966
34,Viento en los puentes,"Mataix, Lucila ",Nadir,es,9788492219490
35,Los días de amor guerra y omnipotenci...,"Montero, Isaac ",Plaza & Janés,es,9788401301063
36,"El Tiempo, el Espacio y el Tío Albert","Stannard, Russell ",Celeste,es,9788487553455
37,Cartógrafos y aventureros: narradores...,Varios,"Fundación ""La Caixa""",es,9788476646335
38,à l'ouest d'octobre,"Bradbury, Ray","Denoel, Paris",fr,9782207305003
39,Morny,"Rouart, Jean-Marie",Gallimard,fr,9782070743193
40,A sangre fría,"Capote, Truman ",Círculo de Lectores,es,
41,Cuentos de la Alhambra,"Irving, Washington",Ramón Sopena,es,9788430305780
42,Le Sermon Sur la Chute de Rome,"Ferrari, Jerome",Actes Sud,fr,9782330022808
43,Las georgicas,"Simon, Claude",Planeta,es,9788408462194
44,Los organillos,"Rey, Henri-François",G. P.,es,
45,Journal intime,"Rheims, Nathalie",L. Scheer,fr,9782756100906
46,Las mil noches de Hortensia Romero,"Quiñones, Fernando ",Planeta,es,9788432053955 
47,El aire de un crimen,"Benet, Juan ",Seix Barral,es,9788432220043
48,"Les Miserables, Tome 1.","Hugo, Victor ",Le Livre de Poche,fr,9782253096337
49,Clochemerle,"Chevallier, Gabriel ",Plaza & Janés,es,9788401410956
50,No emprenyeu el comissari!,"Torrent, Ferran",Lham,ca,9788475021225
51,Un sexo llamado débil,"Martín Vigil, José Luis ",Richard Grandio,es,
52,Le Jugement final,"Easterman, Daniel ",Pocket,fr,9782266086882
53,Le mystère de la chambre 51,"Grimes, Martha ",Presses de la Cité,fr,9782266233927
54,Negros son los dioses de mi África,"Yerby, Frank",Planeta,es,9788432027185
55,Der Gefangene des Himmels,"Ruiz Zafón, Carlos ",Fischer Verlag,de,9783596195855
56,La Alternativa Del Diablo,"Forsyth, Frederick ",Plaza & Janés,es,9788401909016
57,Aventuras de Robinson Crusoe,"Defoe, Daniel ",Ramon Sopena,es,9788430304530
58,The Great Railway Bazaar,"Theroux, Paul ",Penguin,en,9780140042351
59,The kite runner,"Hosseini, Khaled ",Riverhead Books,en,9781594483011
60,La Ciudad de la alegria,"Lapierre, Dominique",Planeta/Seix Barral,es,9788432240034
61,La nueva organización del trabajo,"Mateu, Melchor ",Editorial Hispano Europea,es,9788425506697
62,Retrato de grupo con señora,"Böll, Heinrich ",Planeta,es,9788408462026
63,El Juez y su verdugo,"Dürrenmatt, Friedrich ",Planeta,es,9788408461852
64,Oficio de difuntos,"Uslar Pietri, Arturo ",Planeta,es,9788408462071
65,El reino de este mundo,"Carpentier, Alejo ",Planeta,es,9788408461814
66,Los 80 son nuestros,"Diosdado, Ana ",Círculo de Lectores,es,9788422622482
67,Sociología para educadores,"Romero Peñas, José Luis; González-Anleo, Juan ",Cincel,es,9788470460616
68,"Tiranos, víctimas e indiferentes...","Roberts, Wess ","Urano, ediciones",es,9788495787286
69,Dios ha nacido en el exilio,"Horia, Vintila ",Planeta,es,9788408461968
70,Charlie,"King, Stephen ",La seine Succes du livre,es,9782738203427
71,El pasado quedó atrás,"Vries, Anke De ",S & M Books,es,9788434811867
72,Heath,"Roth, Andrew ",DOPESA,es,9788472350663
73,Dinero para Maria,"Rasputin, Valentin ",Círculo de Lectores,es,9788422611448
74,Robinson Crusoe,"Defoe, Daniel",Círculo de Lectores,es,
75,Leituras,Varios,"CIPIE (Centro de Investigaçao Pedagogica e Inspecçao Escolar), Angola",pt,
76,Crónica sentimental en rojo,"González Ledesma, Francisco ",Planeta,es,9788432055713
77,Only a Teardrop away from a Cry,"Dowling, Lynette ",X-PRESS,en,9780620349260
78,Pedro Toledo,"Cacho, Jesús ","Temas de Hoy, ediciones",es,9788478800612
79,OEuvres complètes de Isidore Ducasse,"Ducasse, Isidore ",Le Livre de Poche,fr,
80,Las Voces del Desierto,"Morgan, Marlo ","B, ediciones",es,9788440663788
81,84 Charing Cross Road,"Hanff, Helene ",Warner Books,en,9780751503845
82,Le neuvième cercle,"Bernadac, Christian ",Presses pocket,fr,9782266003513
83,Sexy-bar,"Benítez de Castro, Cecilio ",Círculo de Lectores,es,9788422604341
84,Las esferas del Mandala,"White, Patrick ",Barral,es,9788421110058
85,Año de lobos,"Fährmann, Willi","SM, ediciones",es,9788434809482
86,Fue dicho: no desearás a la mujer de ...,"Hunter, Evan ",Círculo de Lectores,es,
87,Résurrection,"Tolstoy, Lev Nikolaevič ",Gallimard,fr,9782070389421
88,Feudalismo Tardio y Capital Mercantil,"Kriedte, Peter ",Critica (Grijalbo Mondadori),es,9788474231717
89,Marie Curie,"Reid, Robert ",Salvat,es,9788434581593
90,Queridas cadenas,"Pérez Collado, Antonio ","Ateneo Libertario ""AL MARGEN""",es,
91,Que el cielo la juzgue,"Williams, Ben Ames ",José Janés,es,
92,Postmortem,"Cornwell, Patricia ",Le Livre de Poche,fr,9782253076322
93,Países y territorios del mundo,"López Davalillo, Julio",Gaesa,es,9788468857572
94,Contact Your Guardian Angel,"Roland, Paul ",Foulsham,en,9780572030476
95,Spanish show,"Manegat, Julio ",Círculo de Lectores,es,
96,Yo fui... una de ellas,"Calvany, Condesa ",Plaza & Janés,es,
97,Pasos sin huellas,"Bermúdez de Castro, F.",Planeta,es,
98,Tieta de Agreste,"Amado, Jorge ",Plaza & Janés,es,9788401303036
99,La fondation ligue française des droi..,"Antoine, Suzanne ; Nouët, Jean-Claude",Fondation Ligue Française des Droits de lAnimal,fr,9782951216723
100,El tigre de tasmania,"Muñoz Puelles, Vicente ",Mestral libros,es,9788475752785
101,Tu No Eres Mi Amiga,"Tamayo Daimon, Manuel ",Manuel Tamayo Daimon,es,9788423129089
102,Jacinto Benavente,"Díaz-Plaja, Aurora ",Auriga,es,9788472810396
103,Le guide des actions humanitaires,"Jost, Philippe ",Editions Hors collection,fr,9782258037984
104,Bajo el viento de la Camarga,"Cesco, Federico de ",Alfaguara,es,9788420436357
105,Niños y hombres,"Roth, Philip ",G.P.,es,
106,Aux frontières du réel - 2 - Tornade,"Grant, Charles L. ",Éd. Jai lu,fr,9782277242390
107,La pampa argentina,"Sefve, Ivar ",Seix Barral,es,
108,El guerrero del desierto,"Singh, Nalini ",Harlequín Ibérica,es,9788467114133
109,El Mito masculino,"Pietropinto, Anthony; Simenauer, Jacqueline",Plaza & Janés,es,9788401480553
